"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Thuwal,  Saudi Arabia","Thuwal"," Saudi Arabia","Thuwal, Governorate of Jidda, Makkah Region, 23955-6900, Saudi Arabia","22.2833454","39.1128145","869.653","9810.771","1","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","887.744","10263.648","1","0"
"Mineola,  United States","Mineola"," United States","Mineola, Town of North Hempstead, Nassau County, New York, 11501, United States","40.7492678","-73.6406845","908.577","10785.194","1","0"
"Pittsburgh,  United States","Pittsburgh"," United States","Pittsburgh, Allegheny County, Pennsylvania, United States","40.4416941","-79.9900861","949.394","11808.673","1","0"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","969.194","8533.22","3","0"
"University of Notre Dame du Lac,  United States","University of Notre Dame du Lac"," United States","University of Notre Dame du Lac, Warrick Street, Maple Lane, Saint Joseph County, Indiana, 46556, United States","41.704567749999995","-86.23822026017265","983.023","12654.243","1","0"
"South Bend,  United States","South Bend"," United States","South Bend, Saint Joseph County, Indiana, United States","41.6833813","-86.2500066","983.172","12657.995","1","0"
"Argonne,  United States","Argonne"," United States","Argonne, Town of Argonne, Forest County, Wisconsin, 54511, United States","45.659921","-88.879414","984.061","12680.35","1","0"
"Indianapolis,  United States","Indianapolis"," United States","Indianapolis, Marion County, Indiana, United States","39.7683331","-86.1583502","989.862","12826.216","1","0"
"Chicago,  United States","Chicago"," United States","Chicago, Cook County, Illinois, United States","41.8755616","-87.6244212","990.665","12846.391","1","0"
"Knoxville,  United States","Knoxville"," United States","Knoxville, Knox County, Tennessee, 37996-4134, United States","35.9603948","-83.9210261","990.904","12852.397","1","0"
"Lemont,  United States","Lemont"," United States","Lemont, Lemont Township, Cook County, Illinois, 60439-4329, United States","41.6737149","-88.0016263","993.679","12922.172","1","0"
"Davis County,  United States","Davis County"," United States","Davis County, Iowa, United States","40.7474784","-92.3965311","1031.62","13671.093","1","0"
"Częstochowa,  Poland","Częstochowa"," Poland","Częstochowa, Silesian Voivodeship, Poland","50.8120466","19.113213","1032.973","10325.16","2","0"
"Ames,  United States","Ames"," United States","Ames, Story County, Iowa, 50010, United States","42.0267567","-93.6170448","1034.541","13716.787","1","0"
"Gothenburg,  Sweden","Gothenburg"," Sweden","Gothenburg, Göteborgs Stad, Västra Götaland County, 41106, Sweden","57.7072326","11.9670171","1037.778","10420.301","2","0"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, 00-901, Poland","52.2319581","21.0067249","1069.017","11038.844","2","0"
"Baton Rouge,  United States","Baton Rouge"," United States","Baton Rouge, East Baton Rouge Parish, Louisiana, United States","30.4459596","-91.18738","1093.129","14633.359","1","0"
"Rio de Janeiro,  Brazil","Rio de Janeiro"," Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil","-22.9110137","-43.2093727","1140.844","15432.541","1","0"
"Boulder,  United States","Boulder"," United States","Boulder, Boulder County, Colorado, United States","40.0149856","-105.270545","1149.517","15618.659","1","0"
"Heraklion,  Greece","Heraklion"," Greece","Heraklion, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 71202, Greece","35.3400127","25.1343475","1152.312","12190.213","2","0"
"Austin,  United States","Austin"," United States","Austin, Travis County, Texas, United States","30.2711286","-97.7436995","1153.685","15708.113","1","0"
"Los Alamos,  United States","Los Alamos"," United States","Los Alamos, Los Alamos County, New Mexico, United States","35.893533500000004","-106.28970107056452","1180.978","16293.864","1","0"
"Walla Walla,  United States","Walla Walla"," United States","Walla Walla, Walla Walla County, Washington, United States","46.0667277","-118.3393456","1190.656","16501.565","1","0"
"Seattle,  United States","Seattle"," United States","Seattle, King County, Washington, United States","47.6038321","-122.3300624","1201.527","16734.855","1","0"
"Bhagalpur,  India","Bhagalpur"," India","Bhagalpur, Bihar, India","25.28669805","87.13225355111148","1250.588","17578.391","1","0"
"Bengaluru,  India","Bengaluru"," India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","12.9791198","77.5912997","1256.153","17659.05","1","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","1272.61","10071.03","5","0"
"Livermore,  United States","Livermore"," United States","Livermore, Alameda County, California, 94550, United States","37.6820583","-121.7680531","1291.124","18165.915","1","0"
"Murrieta,  United States","Murrieta"," United States","Murrieta, Riverside County, California, United States","33.577752399999994","-117.18845420205307","1291.319","18168.738","1","0"
"San Francisco,  United States","San Francisco"," United States","San Francisco, California, United States","37.7790262","-122.419906","1295.843","18234.308","1","0"
"Montevideo,  Uruguay","Montevideo"," Uruguay","Montevideo, Uruguay","-34.9058916","-56.1913095","1349.928","19018.198","1","0"
"La Plata,  Argentina","La Plata"," Argentina","La Plata, Partido de La Plata, Buenos Aires, Argentina","-34.9206797","-57.9537638","1366.91","19207.538","1","0"
"Hong Kong Island,  China","Hong Kong Island"," China","Hong Kong Island, Hong Kong, China","22.2793278","114.1628131","1599.507","22054.304","1","0"
